Tiempos Parallel:
t	t²
2.42514	5.88131
2.4056	5.7869
2.40222	5.77067
2.39956	5.75788
2.46007	6.05194
2.48484	6.17441
2.59695	6.74413
2.5013	6.25652
2.55885	6.54772
2.48187	6.15969
2.48433	6.17188
2.67919	7.17806
2.59932	6.75646
2.53715	6.43712
2.59176	6.71719
2.5339	6.42066
2.50894	6.2948
2.52608	6.38109
2.50099	6.25497
2.50891	6.29461
2.47256	6.11357
2.43925	5.94996
2.45822	6.04285
2.44624	5.98411
2.46103	6.05665
2.46346	6.06865
2.46418	6.07217
2.58918	6.70385
2.52397	6.37044
2.47562	6.12871
2.6746	7.15348
2.57121	6.61113
2.52398	6.37049
2.55182	6.51177
2.59472	6.73256
2.71003	7.34424
2.56924	6.60097
2.83312	8.02659
2.61755	6.85157
2.52939	6.39781
2.53294	6.4158
2.66999	7.12884
2.54999	6.50246
2.57465	6.6288
2.57115	6.61083
2.6169	6.84819
2.62202	6.87497
2.46268	6.0648
2.43149	5.91213
2.49168	6.20848
2.56314	6.56971
2.46218	6.06234
2.48346	6.16757
2.47543	6.12773
2.46764	6.08925
2.46772	6.08967
2.4846	6.17322
2.47112	6.10645
2.5022	6.26102
2.46429	6.07271
2.47912	6.14605
2.47521	6.12665
2.48782	6.18925
2.49764	6.23821
2.49829	6.24143
2.47474	6.12435
2.48957	6.19796
2.47338	6.11761
2.47295	6.1155
2.48663	6.18333
2.45493	6.02666
2.47128	6.10724
2.4773	6.13702
2.46907	6.09631
2.46358	6.06923
2.5343	6.42268
2.49545	6.22725
2.46406	6.07161
2.44732	5.98937
2.45182	6.01142
2.44278	5.96716
2.4698	6.09993
2.48503	6.17535
2.46782	6.09015
2.45817	6.04261
2.46707	6.08641
2.4532	6.01819
2.50444	6.27222
2.45429	6.02354
2.47139	6.10775
2.46947	6.09829
2.47684	6.13473
2.52203	6.36064
2.42881	5.89914
2.4999	6.24949
2.44	5.9536
2.49836	6.24181
2.49136	6.2069
2.42633	5.88706
2.60374	6.77946
