Tiempos Serial:
t	t²
9.7928	95.8989
10.4003	108.167
10.3485	107.092
10.3375	106.864
9.92034	98.4132
9.77072	95.467
10.1292	102.602
10.7186	114.889
9.89631	97.9369
9.09983	82.8069
8.85812	78.4662
9.10138	82.835
8.79982	77.4368
8.82937	77.9578
8.81761	77.7502
8.91976	79.5622
11.246	126.472
10.2121	104.287
9.5188	90.6076
9.19642	84.5742
9.17459	84.173
8.80249	77.4838
8.81869	77.7693
8.8745	78.7568
8.81669	77.734
10.2849	105.778
10.6377	113.16
11.5142	132.577
10.5469	111.237
10.4294	108.772
10.4201	108.578
10.8877	118.543
10.6869	114.211
10.6015	112.391
10.7537	115.643
10.5402	111.096
9.93975	98.7986
9.71517	94.3846
9.69813	94.0538
9.66907	93.4909
9.67544	93.6141
9.84343	96.893
9.6673	93.4568
9.95648	99.1315
10.6396	113.201
9.73373	94.7455
10.1404	102.827
9.84736	96.9706
10.0878	101.763
9.89021	97.8163
9.83393	96.7063
10.0428	100.859
10.9316	119.501
10.7959	116.551
9.94591	98.9212
10.0337	100.675
9.94288	98.8608
9.88477	97.7086
9.99736	99.9472
9.89574	97.9256
10.1642	103.311
9.99393	99.8786
9.91918	98.3902
9.95617	99.1254
9.88889	97.7902
9.9622	99.2455
9.89222	97.856
9.92576	98.5208
9.97974	99.5952
9.84574	96.9387
9.9601	99.2036
9.8954	97.919
9.85662	97.1529
10.0215	100.431
9.83225	96.6731
10.0118	100.235
9.37691	87.9264
10.3075	106.244
9.84856	96.9942
9.99993	99.9986
9.91012	98.2105
9.99042	99.8086
9.96744	99.3499
9.88303	97.6742
10.1138	102.289
9.86107	97.2407
9.98302	99.6606
9.91464	98.3001
9.82997	96.6283
10.0179	100.359
9.91893	98.3851
9.98745	99.7491
9.97173	99.4353
9.87585	97.5325
9.99539	99.9077
9.87701	97.5553
9.99826	99.9653
10.1	102.01
9.60068	92.1731
10.1066	102.143
